cntry,ppltrst,pplfair,pplhlp,trstprl,trstlgl,trstplc,trstplt,trstprt,trstsci,implvdm
NL,2,5,3,4,6,5,6,5,7,7
NL,7,7,3,6,8,7,4,5,8,8
NL,6,7,7,5,6,5,4,4,7,9
NL,9,8,5,7,9,9,7,7,9,9
NL,8,7,7,5,7,7,3,4,7,7
NL,1,2,2,2,8,5,2,2,8,9
NL,7,5,2,6,8,8,4,4,8,10
NL,6,6,3,3,3,6,3,2,5,8
NL,8,7,6,7,8,8,7,5,8,9
NL,5,7,7,4,7,7,5,4,8,9
NL,0,4,4,2,4,4,4,2,3,5
NL,8,8,5,7,8,9,5,6,9,9
NL,7,7,5,6,8,7,5,5,8,8
NL,8,7,6,8,9,9,8,8,10,9
NL,8,8,7,6,8,8,6,6,8,10
NL,6,5,4,5,6,6,5,5,6,7
NL,4,5,9,1,3,3,1,1,3,5
NL,3,5,4,5,7,7,4,3,7,5
NL,7,7,5,5,6,7,0,5,8,9
NL,8,8,7,7,8,8,6,6,9,10
NL,3,8,3,3,4,3,3,3,7,10
NL,9,9,9,7,9,9,7,6,9,10
NL,8,8,8,6,8,9,5,4,9,10
NL,5,2,5,5,6,7,1,2,5,10
NL,9,9,8,7,9,9,7,7,9,10
NL,8,7,6,8,8,8,6,7,8,10
NL,5,7,5,1,5,9,6,6,6,10
NL,7,7,5,7,8,8,5,5,8,10
NL,5,8,8,4,3,4,3,3,2,10
NL,7,6,6,7,9,8,3,5,7,10
NL,8,8,9,6,9,8,6,6,6,10
NL,7,7,8,5,5,6,6,6,6,7
NL,8,8,8,7,8,8,7,7,7,10
NL,5,6,7,7,6,7,7,6,5,10
NL,8,8,7,7,8,7,7,7,7,9
NL,8,6,3,5,6,6,2,2,7,9
NL,7,8,8,7,9,7,6,6,9,9
NL,4,4,3,5,6,9,5,4,7,10
NL,7,7,6,6,8,8,7,7,8,10
NL,8,7,7,7,7,8,7,7,7,10
NL,6,7,5,4,6,6,4,2,6,10
NL,3,4,5,10,6,8,0,4,5,5
NL,8,8,7,7,7,8,6,7,8,10
NL,8,8,5,6,9,6,5,5,9,10
NL,8,8,6,7,8,8,7,7,8,8
NL,8,5,9,8,9,9,7,6,8,10
NL,8,8,4,6,9,9,6,6,8,10
NL,7,7,5,4,6,7,5,5,7,8
NL,6,5,3,3,2,1,3,3,5,7
NL,8,7,8,8,8,8,7,6,7,9
NL,4,7,6,7,8,8,4,6,8,10
NL,8,7,5,4,9,6,1,5,6,6
NL,6,7,4,6,7,7,6,7,8,8
NL,7,8,7,6,7,8,6,6,7,8
NL,0,2,3,0,0,0,0,0,5,10
NL,7,7,7,6,9,10,5,6,8,9
NL,7,7,5,7,8,4,7,7,9,8
NL,7,8,4,6,6,5,7,7,8,10
NL,7,8,6,6,4,7,4,5,7,9
NL,8,9,7,7,9,9,6,8,10,9
NL,8,8,7,7,8,8,7,7,8,9
NL,8,8,4,7,8,8,4,3,9,8
NL,7,5,3,5,5,8,5,8,6,7
NL,7,7,8,6,5,7,5,7,8,9
NL,7,6,7,3,7,8,3,3,8,10
NL,10,9,9,4,8,7,7,6,9,9
NL,4,5,6,7,8,4,4,4,6,9
NL,5,5,5,6,6,7,6,5,7,7
NL,8,8,7,5,7,8,4,2,6,9
NL,7,7,2,5,6,8,5,5,7,10
NL,8,8,7,6,8,8,7,7,8,10
NL,6,9,9,5,4,8,7,5,7,6
NL,7,5,6,3,8,8,2,3,10,10
NL,4,3,5,5,5,6,4,4,3,10
NL,8,8,8,5,5,4,4,4,7,10
NL,5,5,5,5,8,8,5,5,7,8
NL,8,7,8,8,9,8,6,8,9,10
NL,7,7,8,5,8,8,7,6,8,10
NL,6,5,8,3,4,8,0,0,9,8
NL,6,7,7,3,3,4,3,3,6,7
NL,8,7,8,7,7,8,6,7,7,10
NL,7,7,5,7,9,8,6,7,8,9
NL,7,9,5,7,9,9,6,5,8,10
NL,7,7,7,3,8,7,4,4,5,9
NL,10,9,5,8,8,6,5,5,9,10
NL,4,5,5,3,6,6,5,4,6,6
NL,7,7,4,4,8,5,2,7,7,10
NL,7,7,7,6,8,8,6,6,9,10
NL,8,7,3,3,3,5,3,3,5,8
NL,6,8,7,7,8,8,6,6,9,10
NL,5,7,6,8,9,8,7,7,9,10
NL,6,6,5,6,7,6,4,4,6,8
NL,8,8,7,6,8,7,5,6,8,10
NL,9,8,7,7,9,9,7,7,9,10
NL,3,9,5,0,0,1,0,0,6,5
NL,6,7,7,7,8,10,6,4,9,8
NL,6,7,4,7,6,8,6,6,8,10
NL,9,9,7,8,7,7,7,8,9,10
NL,7,7,6,7,6,8,6,7,8,10
NL,5,6,3,5,10,5,5,6,1,10
NL,8,7,5,6,7,7,5,5,7,7
NL,6,6,5,2,5,3,3,4,5,10
NL,7,7,7,8,9,8,8,7,8,10
NL,6,6,7,6,8,8,7,7,8,9
NL,8,8,6,7,7,7,6,6,8,10
NL,8,9,8,8,8,8,7,8,7,9
NL,7,7,7,7,8,9,6,6,9,9
NL,5,5,5,5,5,5,5,5,7,9
NL,5,5,3,7,8,8,8,8,9,10
NL,6,7,6,7,8,8,6,6,9,10
NL,8,8,8,8,8,8,7,7,8,10
NL,5,7,4,4,5,7,5,3,6,7
NL,8,8,5,6,8,8,6,6,7,9
NL,7,7,7,6,2,7,5,5,8,10
NL,7,8,5,7,9,9,7,6,7,10
NL,6,6,3,7,8,8,5,6,6,10
NL,8,7,7,5,7,8,3,4,7,10
NL,7,7,5,5,8,8,4,7,8,9
NL,7,7,6,8,7,6,7,7,8,10
NL,5,5,3,5,6,8,3,3,5,10
NL,7,7,5,10,0,3,0,0,0,10
NL,7,7,7,2,4,2,3,3,7,9
NL,8,8,5,8,6,7,5,5,8,8
NL,8,8,5,7,9,9,7,7,9,9
NL,4,6,1,2,0,1,0,1,2,10
NL,7,7,8,3,7,7,4,4,8,8
NL,7,7,6,6,7,9,5,6,6,10
NL,5,8,8,8,6,7,7,7,8,7
NL,7,8,7,6,6,6,6,6,7,10
NL,7,5,4,3,4,6,3,4,6,10
NL,6,3,7,9,10,9,7,8,9,10
NL,7,5,5,2,7,5,2,2,7,8
NL,8,8,6,7,8,8,7,6,8,9
NL,6,8,4,4,4,5,3,5,7,10
NL,7,7,3,6,8,6,6,6,8,10
NL,6,7,5,7,4,7,7,5,6,8
NL,8,8,7,7,7,8,7,7,8,10
NL,0,8,3,8,6,6,7,6,8,8
NL,8,8,8,5,9,9,4,4,8,10
NL,7,7,4,8,8,10,6,6,8,10
NL,5,6,6,6,7,7,5,4,6,8
NL,7,7,8,7,8,8,7,7,9,10
NL,6,8,8,6,6,7,5,6,7,10
NL,1,0,0,3,4,4,1,3,6,5
NL,7,5,4,3,6,8,4,6,7,8
NL,7,7,8,5,9,6,4,4,7,9
NL,8,8,7,7,8,7,7,6,8,10
NL,8,7,8,5,7,8,4,5,7,10
NL,6,6,4,7,6,7,6,6,6,7
NL,7,8,4,7,8,6,6,8,9,10
NL,7,7,7,6,9,8,6,6,8,10
NL,7,7,8,3,7,7,4,3,7,10
NL,5,7,4,7,8,9,7,5,9,9
NL,8,5,5,8,9,10,7,7,9,10
NL,7,6,4,8,10,10,8,5,10,10
NL,9,7,7,7,9,7,6,6,7,10
NL,4,7,5,7,9,8,8,6,8,9
NL,5,5,4,4,6,5,3,4,8,10
NL,4,8,5,0,0,0,3,5,6,10
NL,5,5,7,5,8,6,5,5,8,8
NL,5,3,5,6,5,5,3,4,8,9
NL,10,8,6,3,3,7,4,4,8,10
NL,8,8,5,5,7,5,5,6,8,9
NL,7,7,6,2,6,5,2,3,8,10
NL,6,7,1,5,6,8,4,5,6,6
NL,7,7,5,6,8,8,5,4,8,9
NL,8,7,5,7,9,9,8,7,9,10
NL,3,5,3,4,8,8,4,4,8,9
NL,7,7,7,6,7,5,5,5,8,8
NL,7,8,8,8,8,8,7,7,8,8
NL,7,8,6,6,7,7,6,7,9,9
NL,7,7,3,8,9,9,7,7,9,10
NL,6,6,6,8,8,7,8,7,9,9
NL,7,7,4,3,8,7,2,2,8,10
NL,8,8,7,8,9,9,8,8,7,10
NL,8,8,7,7,8,8,7,7,8,9
NL,8,8,4,6,5,7,5,4,7,9
NL,9,8,8,9,10,9,8,8,8,10
NL,6,8,5,8,9,9,6,6,8,10
NL,6,7,7,8,9,7,7,7,7,10
NL,8,8,6,10,10,10,5,5,9,10
NL,9,8,8,7,7,7,7,7,9,9
NL,5,8,6,7,7,6,6,7,8,10
NL,6,7,7,7,6,6,5,5,5,7
NL,8,7,7,7,8,8,7,7,8,10
NL,8,8,5,2,5,7,2,2,8,7
NL,9,8,8,8,9,9,7,7,8,9
NL,6,6,6,6,7,8,6,5,8,7
NL,8,8,8,1,6,6,1,1,7,8
NL,5,7,6,4,4,8,3,3,7,10
NL,8,8,8,7,9,9,8,7,9,10
NL,7,4,3,2,7,7,2,3,7,9
NL,8,9,8,5,7,8,4,5,8,10
NL,7,7,7,5,6,8,3,3,7,9
NL,5,5,8,7,9,10,6,6,9,10
NL,5,6,7,5,7,7,4,4,5,10
NL,7,7,6,6,6,7,7,5,6,8
NL,9,8,7,8,9,9,8,8,8,10
NL,8,5,5,7,8,8,8,6,8,8
NL,8,8,5,6,8,8,5,7,8,9
NL,7,8,4,5,7,8,3,3,7,8
NL,7,8,4,7,7,7,6,6,8,10
NL,3,5,5,5,8,8,4,6,7,10
NL,5,6,7,7,4,7,7,7,7,10
NL,8,7,6,7,8,8,4,4,9,10
NL,7,6,3,8,9,6,6,7,9,10
NL,7,7,5,6,7,8,6,5,5,9
NL,7,7,5,8,9,9,8,7,8,9
NL,7,7,6,8,9,9,7,6,8,10
NL,8,9,7,7,8,8,6,6,8,10
NL,7,8,5,5,8,9,1,1,9,10
NL,5,8,7,8,8,8,9,9,9,8
NL,8,8,8,7,5,8,6,6,7,9
NL,1,4,5,6,6,7,5,5,8,10
NL,7,8,7,9,10,9,8,8,10,10
NL,4,4,1,5,5,4,5,5,8,10
NL,4,5,10,0,0,7,0,0,6,5
NL,7,7,5,4,6,6,4,7,8,8
NL,8,8,7,8,10,8,7,7,8,10
NL,7,7,8,8,8,8,7,7,8,10
NL,7,6,2,6,5,8,6,6,6,10
NL,8,8,8,7,8,7,7,7,7,8
NL,6,6,7,5,8,8,5,5,8,8
NL,6,7,5,4,4,4,3,3,4,8
NL,8,8,7,7,7,7,5,4,8,10
NL,5,7,6,6,5,8,6,6,5,6
NL,6,7,8,6,8,9,7,6,9,10
NL,3,7,3,5,5,7,6,6,3,5
NL,8,8,7,6,7,8,6,7,8,10
NL,7,5,4,5,5,6,5,5,7,5
NL,8,7,7,7,7,7,4,4,9,10
NL,2,3,1,7,9,8,7,7,10,10
NL,7,7,8,6,7,7,5,6,7,9
NL,6,8,6,6,9,10,6,7,10,8
NL,8,8,8,7,8,8,7,6,8,10
NL,8,7,6,4,5,7,5,5,7,7
NL,10,10,10,10,10,10,10,10,10,10
NL,5,4,6,4,5,9,2,2,9,10
NL,7,7,5,7,8,9,7,7,9,10
NL,6,8,5,9,7,7,6,5,7,9
NL,6,6,4,6,8,8,6,4,7,8
NL,5,7,7,7,8,8,7,7,8,10
NL,4,4,2,5,7,9,6,3,3,2
NL,8,8,6,9,8,9,7,7,9,10
NL,8,8,8,6,7,7,6,6,7,10
NL,4,4,5,3,5,6,3,4,6,8
NL,8,8,6,8,9,9,7,7,9,10
NL,7,6,5,6,7,7,6,6,8,9
NL,7,7,5,7,8,8,7,7,8,9
NL,7,7,6,5,5,7,6,4,8,9
NL,8,7,6,6,7,7,6,6,6,8
NL,5,7,4,8,7,9,7,6,7,9
NL,7,5,3,8,8,10,7,7,8,10
NL,5,4,6,2,5,7,2,2,2,1
NL,8,8,7,5,7,8,5,5,6,9
NL,2,4,6,7,7,8,5,6,8,10
NL,7,8,3,6,7,8,5,5,9,9
NL,5,8,8,5,2,6,5,5,7,10
NL,8,8,6,8,9,9,7,6,8,10
NL,7,9,9,3,5,7,2,2,7,10
NL,1,7,4,7,8,8,6,6,9,10
NL,9,9,9,8,8,7,8,7,9,9
NL,7,6,7,4,7,6,5,5,7,8
NL,6,8,6,7,8,7,7,6,9,9
NL,5,5,7,6,6,5,5,5,6,6
NL,6,8,7,8,8,8,8,8,8,10
NL,3,5,5,3,7,10,4,3,5,10
NL,8,8,8,8,7,5,7,6,5,8
NL,8,8,6,9,9,7,7,7,10,10
PT,7,7,4,5,2,7,3,3,7,8
PT,3,5,3,5,3,8,5,3,7,10
PT,5,5,2,2,2,5,2,2,5,9
PT,5,5,2,7,7,9,7,7,10,10
PT,6,5,8,7,7,7,6,5,8,10
PT,5,8,5,6,5,7,3,3,9,10
PT,3,7,6,1,0,4,1,1,7,10
PT,7,7,5,6,5,5,3,3,8,10
PT,7,5,6,4,7,7,4,3,6,9
PT,3,5,4,3,4,6,0,0,9,10
PT,3,4,4,2,5,6,1,2,7,10
PT,3,3,3,5,4,8,5,5,3,10
PT,6,5,3,5,0,7,3,2,6,9
PT,6,7,6,6,5,7,5,5,8,10
PT,6,7,3,6,4,8,4,4,8,10
PT,2,6,3,5,4,7,6,3,7,8
PT,6,6,5,5,6,8,4,4,8,10
PT,5,7,4,6,5,7,5,5,8,7
PT,10,8,6,8,5,9,5,7,10,10
PT,3,5,5,4,5,8,1,1,9,10
PT,6,5,4,4,0,7,0,0,7,10
PT,5,5,5,5,5,6,4,4,10,10
PT,2,5,5,8,8,6,6,5,5,3
PT,8,9,7,9,6,9,5,5,10,10
PT,3,4,4,5,5,6,3,3,8,10
PT,4,9,3,0,0,5,3,3,8,9
PT,5,5,5,7,7,8,7,7,9,10
PT,3,5,4,5,5,5,2,0,8,10
PT,3,4,2,0,0,8,0,0,5,7
PT,3,4,5,2,3,4,2,2,8,8
PT,7,7,5,5,2,6,5,5,10,10
PT,6,3,2,0,1,6,0,0,7,10
PT,6,7,5,6,6,8,5,5,8,10
PT,8,8,8,3,5,8,3,3,9,10
PT,5,5,5,5,4,5,5,5,5,7
PT,6,7,6,3,3,6,5,3,8,7
PT,1,3,1,7,3,9,5,7,8,10
PT,0,5,0,0,0,10,0,0,10,5
PT,6,5,6,7,6,8,7,7,10,10
PT,1,5,1,0,0,5,0,0,5,5
PT,2,8,2,0,0,6,0,0,5,3
PT,1,1,1,4,4,6,0,0,0,1
PT,3,3,3,2,2,7,0,0,5,8
PT,5,5,6,3,3,6,3,4,6,6
PT,1,0,0,7,5,7,5,5,10,10
PT,6,6,5,5,7,9,6,6,8,8
PT,4,4,4,6,3,4,4,4,8,6
PT,10,6,4,8,5,8,6,9,10,9
PT,8,4,3,2,1,3,1,0,8,10
PT,8,8,7,8,8,9,7,7,9,10
PT,7,7,8,1,5,5,0,0,8,10
PT,4,4,0,7,0,7,0,1,5,10
PT,4,5,4,5,2,7,5,5,7,10
PT,6,6,6,3,2,3,3,6,6,10
PT,5,3,3,10,10,10,6,6,10,10
PT,4,5,7,5,3,5,0,3,8,10
PT,2,4,7,1,0,0,0,0,6,10
PT,5,5,2,2,6,8,6,3,9,10
PT,1,8,1,8,10,10,6,5,7,9
PT,2,3,3,6,5,6,4,5,9,5
PT,7,7,4,7,3,6,3,4,8,10
PT,3,10,5,5,3,8,5,3,10,10
PT,5,7,5,5,5,4,3,2,7,3
PT,5,7,6,4,4,5,2,2,7,10
PT,6,8,3,5,7,8,6,6,9,9
PT,7,8,4,5,5,7,7,7,5,8
PT,5,9,8,8,6,8,6,6,9,9
PT,3,5,3,5,4,6,0,0,5,8
PT,1,5,3,5,8,8,5,3,8,6
PT,6,7,4,5,6,8,5,5,9,10
PT,1,10,10,5,4,7,4,4,3,10
PT,1,4,4,2,2,6,0,0,6,7
PT,5,6,5,7,9,6,3,5,9,6
PT,0,3,4,3,3,4,3,3,4,5
PT,0,5,4,3,3,7,1,1,9,10
PT,4,5,3,4,6,7,4,4,9,10
PT,2,5,2,1,0,8,2,0,8,9
PT,3,8,2,0,5,6,0,2,9,5
PT,0,0,5,8,2,5,0,0,6,10
PT,7,5,5,6,7,5,5,4,8,7
PT,9,5,3,6,6,10,7,7,6,7
PT,1,1,2,2,2,5,0,5,5,10
PT,6,7,6,5,5,7,2,2,8,10
PT,2,3,3,5,4,7,5,5,7,8
PT,7,7,3,8,6,9,9,8,9,9
PT,1,4,1,2,2,7,2,2,6,8
PT,1,5,5,5,8,9,4,4,7,7
PT,1,1,1,0,0,6,0,0,5,8
PT,3,3,2,5,4,5,3,3,6,9
PT,7,6,6,8,6,8,6,6,8,10
PT,5,7,6,4,6,7,4,4,8,8
PT,3,8,3,6,5,8,3,2,6,7
PT,1,5,8,5,8,9,3,3,9,8
PT,7,7,5,7,1,7,0,0,8,10
PT,3,6,5,2,3,7,1,1,7,10
PT,2,4,1,5,2,2,2,0,8,10
PT,3,3,2,5,5,5,3,3,8,10
PT,5,4,4,5,5,8,3,3,9,10
PT,1,6,2,3,3,5,4,4,9,9
PT,2,5,3,4,6,7,1,2,8,10
PT,1,5,3,5,5,7,1,1,5,8
PT,7,7,3,2,2,5,3,3,7,9
PT,4,5,0,5,0,6,0,0,5,10
PT,5,6,6,7,2,7,2,2,7,7
PT,2,2,2,5,5,6,4,4,7,8
PT,1,7,4,2,2,5,2,2,2,10
PT,6,9,6,5,7,9,5,6,8,9
PT,3,5,2,7,7,9,6,6,8,7
PT,8,1,2,4,1,5,2,3,10,8
PT,3,2,3,7,4,8,3,3,7,10
PT,5,6,1,5,5,10,5,5,9,10
PT,4,4,5,7,7,7,5,5,10,10
PT,5,8,4,5,5,7,5,5,7,10
PT,2,7,6,5,3,10,0,0,9,10
PT,7,6,6,6,5,7,6,6,8,7
PT,5,4,3,6,5,6,4,4,7,8
PT,5,5,7,5,3,7,3,3,8,10
PT,3,7,5,0,0,3,0,0,9,5
PT,2,5,2,1,1,5,1,1,5,9
PT,3,7,3,5,5,8,5,5,8,10
PT,5,5,4,5,4,7,4,4,7,9
PT,5,5,5,3,3,5,3,3,6,7
PT,5,6,2,6,2,8,5,5,10,8
PT,5,7,2,5,7,9,5,7,10,10
PT,5,7,2,6,7,7,3,3,9,8
PT,1,3,3,1,2,6,0,0,7,7
PT,0,7,7,2,7,7,2,2,7,9
PT,0,5,3,7,6,1,1,6,8,5
PT,2,3,2,3,5,7,3,3,7,8
PT,2,2,2,1,5,4,1,1,8,8
PT,5,5,3,8,3,5,2,2,8,10
PT,2,2,0,7,5,7,5,5,7,10
PT,5,8,1,2,2,2,2,2,8,5
PT,5,5,1,1,1,5,1,1,8,5
PT,1,5,1,5,0,10,5,5,5,9
PT,0,0,5,1,0,0,0,0,8,10
PT,2,2,2,2,2,5,2,2,5,7
PT,6,3,5,8,6,8,8,8,8,9
PT,7,5,3,5,5,5,5,5,7,10
PT,2,3,3,3,4,4,1,1,10,10
PT,4,6,5,6,7,8,2,2,9,9
PT,6,7,6,5,5,8,5,5,10,10
PT,8,7,4,6,5,9,6,6,8,10
PT,2,1,2,5,3,5,3,3,7,8
PT,1,5,5,0,0,0,0,0,7,0
PT,6,6,6,1,5,7,1,0,9,8
PT,2,3,0,5,6,8,3,3,7,10
PT,0,5,0,0,2,10,0,2,10,10
PT,0,0,0,10,3,5,5,5,9,10
PT,3,6,6,5,5,6,0,0,5,7
PT,0,0,0,0,0,0,0,0,5,10
PT,7,7,6,5,7,9,4,4,7,10
PT,7,8,2,7,7,5,5,5,7,8
PT,0,3,0,0,0,5,0,0,7,10
PT,7,10,8,8,5,8,8,5,8,10
PT,4,10,8,7,3,7,2,2,7,10
PT,0,5,1,0,3,5,1,0,9,7
PT,5,4,2,6,4,5,1,1,8,10
PT,3,5,2,3,3,6,1,2,8,6
PT,3,3,5,3,1,4,3,3,8,9
PT,2,6,5,5,5,8,2,2,6,7
PT,0,3,0,5,5,8,5,6,8,10
PT,4,4,3,8,8,9,8,8,10,8
PT,7,7,5,4,5,8,4,3,9,8
PT,4,4,1,7,4,4,5,5,10,10
PT,2,7,5,8,5,7,5,5,10,10
PT,5,5,5,5,5,8,5,5,9,9
PT,4,5,3,2,0,5,0,5,7,5
PT,1,2,4,5,2,2,2,2,8,10
PT,7,8,9,7,2,8,6,6,10,10
PT,5,5,5,5,3,8,2,1,9,10
PT,1,5,5,5,10,10,5,10,10,10
PT,5,5,3,5,5,6,5,5,8,8
PT,1,3,5,2,2,9,0,1,7,10
PT,2,7,1,5,5,5,5,5,6,10
PT,4,4,3,4,2,4,1,0,9,6
PT,6,7,3,7,6,8,6,6,8,10
PT,5,5,4,4,2,8,2,1,7,8
PT,1,5,0,6,2,5,1,0,8,10
PT,3,6,6,4,6,7,5,5,8,9
PT,5,5,5,5,0,5,0,0,8,10
PT,2,5,3,5,5,7,5,5,7,10
PT,4,5,3,6,5,7,4,6,8,9
PT,2,5,4,0,6,7,0,0,8,9
PT,3,5,0,3,3,8,0,0,8,10
PT,3,4,1,3,5,3,0,0,8,10
PT,5,8,6,7,7,8,7,7,9,10
PT,4,4,3,3,3,5,2,2,7,9
PT,3,3,5,1,1,0,1,3,8,10
PT,1,2,1,6,7,5,4,4,10,10
PT,5,5,2,5,1,7,3,3,6,10
PT,7,4,8,7,8,7,6,5,9,10
PT,2,3,2,3,4,6,3,3,6,7
PT,6,5,4,5,4,5,3,2,8,8
PT,5,7,7,5,2,7,1,1,8,8
PT,5,7,7,0,0,5,0,0,7,10
PT,3,6,2,5,4,2,1,1,5,8
PT,3,5,2,5,4,7,2,2,8,6
PT,5,7,7,5,2,7,4,4,9,10
PT,3,3,3,7,6,6,3,4,7,8
PT,3,6,4,5,6,7,2,3,6,10
PT,5,5,2,6,4,7,1,2,9,10
PT,5,5,6,6,5,8,4,3,7,8
PT,2,5,5,3,3,8,4,3,8,5
PT,5,6,4,6,6,8,5,5,8,9
PT,0,0,0,0,0,0,0,0,7,2
PT,5,5,3,7,5,7,4,3,8,10
PT,5,5,2,3,8,8,3,3,8,10
PT,8,8,8,5,5,8,0,0,9,6
PT,7,6,7,5,3,6,3,2,9,8
PT,7,8,5,5,4,3,2,2,8,9
PT,1,4,3,3,5,5,3,3,5,8
PT,5,1,3,0,3,5,0,0,5,4
PT,1,7,4,0,6,7,0,0,7,10
PT,0,6,5,4,0,4,4,4,7,7
PT,7,7,3,5,5,7,4,4,9,9
PT,2,6,2,1,1,7,0,1,8,9
PT,10,10,5,7,7,7,3,2,9,8
PT,2,5,4,5,6,7,5,5,7,8
PT,2,4,2,3,3,6,0,1,8,8
PT,1,5,1,8,1,6,5,5,7,8
PT,2,2,2,5,5,8,3,3,4,8
PT,1,8,8,8,8,8,4,3,10,10
PT,4,5,5,4,5,10,4,4,8,5
PT,10,9,10,9,9,10,9,9,10,10
PT,5,5,7,3,5,7,2,2,8,9
PT,1,1,1,5,2,0,0,0,6,10
PT,7,8,8,5,6,10,2,2,7,7
PT,4,5,4,4,4,5,4,4,8,10
PT,4,4,6,3,7,7,3,3,8,5
PT,5,2,3,5,5,0,5,5,10,10
PT,4,5,2,8,8,8,6,6,8,10
PT,1,1,1,0,0,3,0,0,5,10
PT,1,9,8,5,7,8,2,6,4,9
PT,3,3,8,0,0,0,0,0,8,10
PT,1,5,2,3,3,5,0,0,5,8
PT,3,6,5,1,1,7,3,1,6,8
PT,4,5,5,6,6,7,2,1,6,8
PT,7,8,5,7,6,7,5,5,7,8
PT,5,5,8,4,4,6,2,2,7,8
PT,6,5,5,4,7,7,5,3,10,8
PT,4,5,6,0,0,3,2,2,8,8
PT,2,2,2,3,0,4,0,0,4,10
PT,1,2,1,5,1,1,2,2,6,8
PT,5,8,5,5,3,8,3,3,5,10
PT,0,5,0,5,5,8,2,2,5,8
PT,4,5,2,5,5,7,3,3,8,8
PT,5,5,5,5,5,9,3,5,8,10
PT,1,9,8,0,5,8,0,0,5,9
PT,8,8,5,4,0,10,0,0,10,8
PT,5,5,1,3,2,7,0,0,5,10
PT,0,7,2,5,5,7,3,4,9,10
PT,6,5,4,9,9,8,6,6,10,10
PT,3,5,1,0,0,10,1,1,10,10
PT,2,6,2,3,6,5,2,3,7,6
PT,4,5,5,5,6,4,4,4,6,10
PT,3,5,5,5,2,6,7,5,8,10
PT,6,7,6,6,6,7,6,6,9,10
PT,2,2,2,0,0,7,0,0,5,10
PT,5,5,3,5,2,6,0,0,7,10
PT,4,5,3,4,4,6,3,3,7,8
PT,5,5,4,6,7,6,2,2,8,10
PT,2,3,3,7,6,9,8,7,9,10
PT,6,6,5,7,5,7,5,5,8,10
PT,7,7,4,5,8,9,3,3,5,7
PT,0,5,5,5,8,8,5,6,9,8
PT,7,7,2,10,10,8,6,5,8,10
PT,9,9,7,8,8,10,8,8,10,10
PT,1,2,2,5,4,5,4,3,8,3
PT,6,6,9,7,7,8,1,3,9,7
PT,6,10,2,1,5,10,0,1,6,10
PT,1,1,1,1,2,3,1,0,5,8
PT,4,6,3,5,5,5,4,4,6,10
PT,3,5,2,5,3,5,3,3,5,8
PT,6,7,4,1,3,6,0,0,5,10
PT,2,2,2,5,5,9,2,2,5,7
PT,5,4,2,7,2,7,5,5,10,10
PT,3,3,2,5,3,7,5,5,7,9
PT,2,4,1,1,0,5,6,5,0,10
PT,7,6,6,7,7,8,5,5,8,9
PT,3,4,2,4,3,3,1,1,6,8
PT,10,8,2,8,6,8,6,7,6,10
PT,10,9,7,10,10,10,8,8,10,10
PT,3,4,2,8,4,8,4,4,9,9
PT,7,5,7,6,6,8,5,5,8,10
PT,8,9,8,9,8,7,6,6,9,10
PT,6,6,5,3,2,5,0,0,8,10
PT,6,6,4,8,8,10,8,8,8,10
PT,2,6,3,4,4,6,2,1,5,8
PT,8,7,7,7,4,7,5,5,9,10
PT,1,5,3,3,3,3,2,2,7,10
PT,0,5,2,3,0,5,0,0,5,10
PT,1,1,1,5,3,6,4,4,8,10
PT,3,4,2,1,3,2,0,0,5,10
PT,2,3,3,2,2,7,2,3,5,8
PT,2,6,2,4,3,4,1,2,6,10
PT,5,8,5,5,7,8,5,5,9,10
PT,10,5,0,0,1,3,1,0,7,10
PT,6,8,5,8,7,9,6,5,9,10
PT,5,5,5,5,5,5,0,5,5,7
PT,0,0,0,5,5,8,4,4,8,7
PT,7,7,8,6,6,7,4,3,10,10
PT,2,6,4,5,5,5,4,4,9,8
PT,2,5,4,2,6,7,2,5,4,5
PT,4,5,2,5,4,8,5,5,10,10
PT,4,5,3,5,3,4,2,1,4,10
PT,4,4,2,4,3,5,4,4,8,8
PT,3,5,5,5,3,6,4,4,4,9
PT,7,6,3,2,2,5,1,1,8,10
PT,1,7,5,5,5,7,4,4,9,10
PT,4,4,6,7,5,7,5,5,9,9
PT,5,5,4,5,0,9,0,0,8,10
PT,6,7,3,6,6,4,6,6,8,10
PT,5,5,3,0,0,8,0,0,8,7
PT,4,5,3,6,3,5,0,0,7,8
PT,1,1,1,4,1,8,1,1,8,5
PT,0,3,2,0,1,6,0,0,4,10
PT,4,7,5,3,4,3,3,3,10,10
PT,8,9,5,2,4,6,2,1,7,10
PT,7,6,8,4,4,8,4,5,6,5
PT,3,8,3,0,2,7,0,0,7,10
PT,5,5,4,3,3,5,2,1,5,6
PT,0,5,3,5,4,8,5,5,8,10
PT,7,6,5,6,7,7,4,4,9,9
PT,3,8,3,1,1,5,0,0,8,10
PT,3,5,2,5,5,5,1,2,5,8
PT,5,5,2,10,5,8,8,8,10,10
PT,5,5,5,7,7,7,5,5,8,10
PT,1,3,4,3,5,3,2,2,8,9
PT,5,5,4,7,6,7,4,4,8,8
PT,4,4,6,0,0,5,0,0,7,8
PT,0,0,0,0,7,8,2,2,8,10
PT,0,5,0,3,3,7,3,3,8,8
PT,5,6,6,5,0,0,0,0,0,6
PT,2,2,3,2,0,1,0,0,4,10
PT,3,5,4,5,5,1,0,0,8,10
PT,7,7,6,4,3,5,4,4,10,10
